"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4249478","","","","0"
"2016-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4341988","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2902526","","","","0"
"2016-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2349370","","","","0"
"2016-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2292002","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2312424","","","","0"
"2016-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2896882","","","","0"
"2016-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2798696","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3252153","","","","0"
"2016-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4338125","","","","0"
"2016-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4844120","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","5076963","","","","0"
"2017-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4283243","","","","0"
"2017-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4782668","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2628736","","","","0"
"2017-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2094081","","","","0"
"2017-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2222508","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2054218","","","","0"
"2017-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2289875","","","","0"
"2017-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2342381","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2560343","","","","0"
"2017-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3936048","","","","0"
"2017-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4797702","","","","0"
