"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2074","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2038","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2386","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2359","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2248","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2515","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2409","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2451","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2734","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2715","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2667","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, households","Kilotonnes","198","units","0","v1013973414","2.115","2603","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10017","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","9949","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10266","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","9809","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","9928","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973417","2.118","10914","","","","0"
