station,year,swe,lat,lon,ele,z
1C01,1970,203,49.8,-120.8666667,994,0.019650759
1C01,1971,376,49.8,-120.8666667,994,2.256982001
1C01,1972,399,49.8,-120.8666667,994,2.554430664
1C01,1973,132,49.8,-120.8666667,994,-0.898560329
1C01,1974,284,49.8,-120.8666667,994,1.067187352
1C01,1975,292,49.8,-120.8666667,994,1.170647756
1C01,1976,188,49.8,-120.8666667,994,-0.174337499
1C01,1977,127,49.8,-120.8666667,994,-0.963223082
1C01,1978,193,49.8,-120.8666667,994,-0.109674747
1C01,1979,165,49.8,-120.8666667,994,-0.471786162
1C01,1980,212,49.8,-120.8666667,994,0.136043713
1C01,1981,174,49.8,-120.8666667,994,-0.355393207
1C01,1982,260,49.8,-120.8666667,994,0.756806139
1C01,1983,198,49.8,-120.8666667,994,-0.045011994
1C01,1984,106,49.8,-120.8666667,994,-1.234806643
1C01,1985,196,49.8,-120.8666667,994,-0.070877095
1C01,1986,150,49.8,-120.8666667,994,-0.66577442
1C01,1987,220,49.8,-120.8666667,994,0.239504118
1C01,1988,163,49.8,-120.8666667,994,-0.497651263
1C01,1989,192,49.8,-120.8666667,994,-0.122607297
1C01,1990,164,49.8,-120.8666667,994,-0.484718712
1C01,1991,215,49.8,-120.8666667,994,0.174841365
1C01,1992,119,49.8,-120.8666667,994,-1.066683486
1C01,1993,117,49.8,-120.8666667,994,-1.092548588
1C01,1994,92,49.8,-120.8666667,994,-1.415862351
1C01,1995,186,49.8,-120.8666667,994,-0.200202601
1C01,1996,275,49.8,-120.8666667,994,0.950794397
1C01,1997,296,49.8,-120.8666667,994,1.222377958
1C01,1998,180,49.8,-120.8666667,994,-0.277797904
1C01,1999,272,49.8,-120.8666667,994,0.911996746
1C01,2000,86,49.8,-120.8666667,994,-1.493457654
1C01,2001,146,49.8,-120.8666667,994,-0.717504622
1C01,2002,178,49.8,-120.8666667,994,-0.303663005
1C01,2003,146,49.8,-120.8666667,994,-0.717504622
1C01,2004,131,49.8,-120.8666667,994,-0.91149288
1C01,2005,51,49.8,-120.8666667,994,-1.946096923
1C01,2006,204,49.8,-120.8666667,994,0.032583309
1C01,2007,206,49.8,-120.8666667,994,0.05844841
1C01,2008,167,49.8,-120.8666667,994,-0.445921061
1C01,2009,111,49.8,-120.8666667,994,-1.170143891
1C01,2010,119,49.8,-120.8666667,994,-1.066683486
1C01,2011,220,49.8,-120.8666667,994,0.239504118
1C01,2012,223,49.8,-120.8666667,994,0.278301769
1C01,2013,143,49.8,-120.8666667,994,-0.756302274
